Date,Open,High,Low,Close,Adj Close,Volume
2017-11-07,56380,56920,55860,56100,49799.88672,7464550
2017-11-08,56100,57060,55860,56760,50385.76953,8520200
2017-11-09,56920,56920,55900,56340,50012.94141,11994050
2017-11-10,55800,56540,55780,56400,50066.19531,6748800
2017-11-13,56400,56800,56100,56380,50048.44531,8806650
2017-11-14,56380,56740,55920,55920,49640.10938,6725000
2017-11-15,55920,56320,55320,55340,49125.23828,8816950
2017-11-17,56400,56880,55820,55820,49551.33594,10733150
2017-11-20,55900,55980,55200,55200,49000.95703,9472750
2017-11-21,55400,55840,55280,55280,49071.97656,10324700
2017-11-22,55980,56200,55620,55960,49675.60938,7952950
2017-11-24,55300,55500,55180,55460,49231.76563,4536200
2017-11-27,55360,55360,52640,52640,46728.44922,18128900
2017-11-28,52700,53280,51720,53280,47296.57813,13499400
2017-11-29,53200,53240,52500,52600,46692.94141,9590250
2017-11-30,50800,51860,50200,50800,45095.08203,29634150
2017-12-01,50800,51780,50800,50840,45130.58984,12868600
2017-12-04,50840,51340,50020,51340,45574.44141,14865050
2017-12-05,50600,51300,50280,51260,45503.42969,9326550
2017-12-06,51260,51560,50020,50020,44402.67969,10889200
2017-12-07,50040,50980,50020,50740,45041.82813,11065600
2017-12-08,51360,52000,51040,52000,46160.33203,11290450
2017-12-11,52000,52040,51500,51780,45965.02734,8125850
2017-12-12,51820,52100,51660,52100,46249.09766,8765050
2017-12-13,52100,52100,51100,51320,45556.6875,11333700
2017-12-14,51320,52280,51060,51060,45325.88672,20310400
2017-12-15,51240,51480,50520,50620,44935.30078,14928550
2017-12-18,50620,51240,50620,51200,45450.16797,7350250
2017-12-19,51540,52080,51520,51560,45769.74219,11978600
2017-12-21,51000,51060,49100,49140,43621.50391,15624300
2017-12-22,49400,49960,49240,49700,44118.61328,11199650
2017-12-26,49760,50100,48200,48200,42787.07031,16039850
2017-12-27,48960,49560,48460,49360,44211.21094,10743600
2017-12-28,49560,50960,49500,50960,45644.31641,8985450
2018-01-03,52540,52560,51420,51620,46235.46875,10013500
2018-01-04,52120,52180,50640,51080,45751.79688,11695450
2018-01-05,51300,52120,51200,52120,46683.3125,9481150
2018-01-08,52400,52520,51500,52020,46593.75391,8383650
2018-01-09,51460,51720,49980,50400,45142.73438,18013600
2018-01-10,50500,50520,48640,48840,43745.45703,18566800
2018-01-11,48200,49260,48020,48240,43208.04297,25123800
2018-01-12,48240,48480,46760,48200,43172.21875,27270450
2018-01-15,48800,48980,47920,48540,43476.74609,10096000
2018-01-16,48760,50140,48620,50000,44784.45313,20389650
2018-01-17,50020,50020,49060,49620,44444.08984,11053050
2018-01-18,50020,50640,49820,49900,44694.88281,14848850
2018-01-19,50380,50380,49040,49320,44175.38672,9219950
2018-01-22,48640,48680,47960,48240,43208.04297,12520900
2018-01-23,48660,49160,48300,49160,44032.07031,13532700
2018-01-24,48860,49700,48560,49340,44193.30469,9550500
2018-01-25,49220,50360,49160,50260,45017.32813,11160350
2018-01-26,50500,50780,49840,50780,45483.08984,10350100
2018-01-29,51200,51480,50900,51220,45877.19922,11838800
2018-01-30,50440,50640,49780,49800,44605.32031,12284550
2018-01-31,50020,54140,49600,49900,44694.88281,64681300
2018-02-01,50620,50960,49720,49820,44623.23047,27609450
2018-02-02,49380,49400,47700,47700,42724.36719,29260350
2018-02-05,46500,48320,46000,47920,42921.41797,28357900
2018-02-06,46600,47920,46580,47420,42473.57813,19406450
2018-02-07,48240,48260,45800,45800,41022.55859,23448050
2018-02-08,46120,46620,45980,46000,41201.69922,23251050
2018-02-09,44440,45180,44420,44700,40037.30469,17465000
2018-02-12,45100,46320,45040,45720,40950.90625,15754950
2018-02-13,46200,48060,46200,47540,42581.05859,18923250
2018-02-14,48080,49100,47940,49000,43888.76953,18905900
2018-02-19,49800,49800,47860,48380,43333.4375,15353450
2018-02-20,48040,48160,47220,47400,42455.66016,10122600
2018-02-21,47280,47580,46840,47280,42348.17578,12880200
2018-02-22,47260,47260,46760,46760,41882.41797,8869950
2018-02-23,46760,47800,46760,47220,42294.4375,12423300
2018-02-26,47280,47560,47080,47380,42437.75,9560650
2018-02-27,48360,48380,47380,47380,42437.75,9830550
2018-02-28,47380,48100,47000,47060,42151.125,15162350
2018-03-02,46580,46800,46000,46020,41219.61328,13265500
2018-03-05,45820,46160,45080,45200,40485.14453,14100950
2018-03-06,45920,47100,45820,47020,42115.29688,15423350
2018-03-07,48200,48900,47220,48620,43548.41016,21427050
